TARIH       SEMBOL  GUN.F%  SON  
05.03.2026  KZGYO   2,94    21,68
05.03.2026  LIDER   -2,24   83,00
05.03.2026  LIDFA   2,58    3,18 
05.03.2026  LILAK   1,65    30,80
05.03.2026  LINK    6,78    228,30
05.03.2026  LKMNH   0,12    16,07
05.03.2026  LMKDC   2,70    31,90
05.03.2026  LOGO    1,52    140,50
05.03.2026  LRSHO   1,43    3,54 
05.03.2026  LUKSK   1,04    97,00
05.03.2026  LYDHO   1,82    207,40
05.03.2026  LYDYE   3,64    17.100,00
05.03.2026  MAALT   2,06    915,00
05.03.2026  MACKO   3,55    31,50
05.03.2026  MAGEN   0,56    47,10
05.03.2026  MAKIM   2,05    15,41
05.03.2026  MAKTK   5,73    14,75
05.03.2026  MANAS   -9,99   21,26
05.03.2026  MARBL   5,72    12,20
05.03.2026  MARKA   -0,19   32,12
05.03.2026  MARTI   0,72    1,39 
05.03.2026  MAVI    -0,85   41,96
05.03.2026  MEDTR   2,11    30,00
05.03.2026  MEGAP   0,00    2,75 
05.03.2026  MEGMT   1,36    66,95
05.03.2026  MEKAG   -9,95   6,70 
05.03.2026  MEPET   -8,29   28,10
05.03.2026  MERCN   7,18    17,47
05.03.2026  MERIT   1,85    17,04
05.03.2026  MERKO   0,66    16,71
05.03.2026  METRO   -0,17   5,98 
05.03.2026  MEYSU   0,00    nan  
23.01.2026  MGROS   0,56    628,50
05.03.2026  MHRGY   2,08    3,43 
05.03.2026  MIATK   -0,22   35,80
05.03.2026  MMCAS   -0,77   103,00
05.03.2026  MNDRS   1,61    14,50
05.03.2026  MNDTR   2,78    5,91 
05.03.2026  MOBTL   2,77    9,66 
05.03.2026  MOGAN   5,57    10,42
05.03.2026  MOPAS   -9,96   56,50
05.03.2026  MPARK   0,60    422,00
05.03.2026  MRGYO   4,38    1,43 
05.03.2026  MRSHL   1,57    1.423,00
05.03.2026  MSGYO   1,94    5,77 
05.03.2026  MTRKS   4,46    21,08
05.03.2026  MTRYO   0,75    9,39 
05.03.2026  MZHLD   0,00    6,06 
05.03.2026  NATEN   0,80    7,59 
05.03.2026  NETAS   0,81    56,30
05.03.2026  NIBAS   -1,52   7,13 
05.03.2026  NTGAZ   -2,70   12,98
05.03.2026  NTHOL   1,73    44,76
05.03.2026  NUGYO   1,56    9,14 
05.03.2026  NUHCM   5,04    281,25
05.03.2026  OBAMS   -1,42   7,61 
05.03.2026  OBASE   5,57    35,26
05.03.2026  ODAS    0,69    5,86 
05.03.2026  ODINE   3,20    660,50
05.03.2026  OFSYM   4,51    68,30
05.03.2026  ONCSM   6,83    242,50
05.03.2026  ONRYT   2,29    64,80
05.03.2026  ORCAY   1,22    3,33 
05.03.2026  ORGE    2,18    67,95
05.03.2026  ORMA    -0,37   163,30
05.03.2026  OSMEN   1,69    7,81 
05.03.2026  OSTIM   1,79    2,84 
05.03.2026  OTKAR   1,23    369,50
05.03.2026  OTTO    1,33    325,00
05.03.2026  OYAKC   1,44    23,92
05.03.2026  OYAYO   0,08    61,60
05.03.2026  OYLUM   4,82    8,70 
05.03.2026  OYYAT   0,71    63,95
05.03.2026  OZATD   0,64    203,00
05.03.2026  OZGYO   2,66    1,93 
05.03.2026  OZKGY   0,83    13,39
05.03.2026  OZRDN   6,13    26,32
05.03.2026  OZSUB   -1,66   18,97
05.03.2026  OZYSR   2,83    47,30
05.03.2026  PAGYO   1,17    91,00
05.03.2026  PAHOL   0,00    1,53 
05.03.2026  PAMEL   1,97    80,20
05.03.2026  PAPIL   -3,69   17,51
05.03.2026  PARSN   2,32    81,50
05.03.2026  PASEU   -1,07   120,00
05.03.2026  PATEK   0,82    18,40
05.03.2026  PCILT   -3,17   27,50
05.03.2026  PEKGY   3,75    12,45
05.03.2026  PENGD   4,29    9,00 
05.03.2026  PENTA   2,58    13,53
05.03.2026  PETKM   3,80    19,38
05.03.2026  PETUN   0,86    11,75
05.03.2026  PGSUS   -0,61   180,70
05.03.2026  PINSU   2,25    9,98 
05.03.2026  PKART   3,11    78,00
05.03.2026  PKENT   -0,70   156,00
05.03.2026  PLTUR   2,63    21,86
05.03.2026  PNLSN   -4,98   46,56
05.03.2026  PNSUT   0,09    10,70
05.03.2026  POLHO   3,14    17,40
05.03.2026  POLTK   3,75    5.677,50
05.03.2026  PRDGS   1,86    6,58 
05.03.2026  PRKAB   -1,39   42,70
05.03.2026  PRKME   1,84    19,35
05.03.2026  PRZMA   1,41    13,62
05.03.2026  PSDTC   4,82    121,70
05.03.2026  PSGYO   0,92    2,19 
05.03.2026  QNBFK   -0,57   51,90
05.03.2026  QNBTR   1,50    270,00
05.03.2026  QUAGR   9,97    3,20 
05.03.2026  RALYH   -1,52   143,00
05.03.2026  RAYSG   1,75    203,10
05.03.2026  REEDR   2,20    6,03 
05.03.2026  RGYAS   -0,31   159,50
05.03.2026  RNPOL   1,01    2,01 
05.03.2026  RODRG   -0,66   21,00
05.03.2026  RTALB   3,14    3,94 
05.03.2026  RUBNS   4,56    33,46
05.03.2026  RUZYE   2,63    11,70
05.03.2026  RYGYO   2,54    30,66
05.03.2026  RYSAS   1,51    18,16
05.03.2026  SAFKR   4,18    25,90
05.03.2026  SAHOL   -0,43   93,40
05.03.2026  SAMAT   2,69    5,73 
05.03.2026  SANEL   0,33    36,12
05.03.2026  SANFM   3,06    7,42 
05.03.2026  SANKO   2,66    20,42
05.03.2026  SARKY   -3,41   32,90
05.03.2026  SASA    -0,44   2,28 
05.03.2026  SAYAS   2,99    37,92
05.03.2026  SDTTR   -1,12   247,20
05.03.2026  SEGMN   9,99    53,50
05.03.2026  SEGYO   3,92    5,83 
05.03.2026  SEKFK   0,10    9,89 
05.03.2026  SEKUR   7,72    5,58 
05.03.2026  SELEC   -0,35   84,65
05.03.2026  SELVA   0,00    2,27 
05.03.2026  SERNT   0,94    7,48 
05.03.2026  SEYKM   -0,42   4,71 
05.03.2026  SILVR   1,21    2,51 
05.03.2026  SISE    0,00    41,22
05.03.2026  SKBNK   1,69    10,85
05.03.2026  SKTAS   8,92    3,42 
05.03.2026  SKYLP   -0,36   280,00
05.03.2026  SKYMD   -2,05   12,45
05.03.2026  SMART   9,95    38,66
05.03.2026  SMRTG   4,50    7,20 
05.03.2026  SMRVA   5,37    57,90
05.03.2026  SNGYO   2,13    4,31 
05.03.2026  SNICA   2,71    3,79 
06.02.2026  SNKRN   -2,69   343,50
05.03.2026  SNPAM   2,85    22,38
05.03.2026  SODSN   2,25    9,99 
05.03.2026  SOKE    0,43    13,90
05.03.2026  SOKM    -0,33   60,85
05.03.2026  SONME   4,33    147,00
05.03.2026  SRVGY   3,08    3,01 
05.03.2026  SUMAS   1,96    273,25
05.03.2026  SUNTK   0,34    35,24
05.03.2026  SURGY   -2,58   64,25
05.03.2026  SUWEN   0,00    9,50 
05.03.2026  TABGD   2,25    252,75
05.03.2026  TARKM   -1,23   382,50
05.03.2026  TATEN   2,92    9,16 
05.03.2026  TATGD   1,34    17,45
05.03.2026  TAVHL   -1,06   302,50
05.03.2026  TBORG   0,88    161,40
05.03.2026  TCELL   -1,17   109,70
05.03.2026  TCKRC   2,16    85,00
05.03.2026  TDGYO   1,40    18,83
05.03.2026  TEHOL   0,32    15,71
05.03.2026  TEKTU   10,00   9,24 
05.03.2026  TERA    4,44    288,00
05.03.2026  TEZOL   1,91    15,48
05.03.2026  TGSAS   1,40    181,30
05.03.2026  THYAO   -1,22   284,25
05.03.2026  TKFEN   9,95    75,70
05.03.2026  TKNSA   4,81    23,98
05.03.2026  TLMAN   2,50    88,20
05.03.2026  TMPOL   2,03    490,00
05.03.2026  TMSN    4,16    104,00
05.03.2026  TNZTP   6,10    24,70
05.03.2026  TOASO   1,72    295,00
05.03.2026  TRALT   -1,93   50,85
05.03.2026  TRCAS   1,83    46,74
05.03.2026  TRENJ   0,37    108,00
05.03.2026  TRGYO   0,69    80,40
05.03.2026  TRHOL   6,29    819,00
05.03.2026  TRILC   0,06    15,50
05.03.2026  TRMET   -1,61   146,50
05.03.2026  TSGYO   1,64    6,80 
05.03.2026  TSKB    1,50    12,17
05.03.2026  TSPOR   1,05    0,96 
05.03.2026  TTKOM   -2,00   61,20
05.03.2026  TTRAK   -1,60   460,00
05.03.2026  TUCLK   1,96    4,17 
05.03.2026  TUKAS   0,85    2,37 
05.03.2026  TUPRS   6,84    246,80
05.03.2026  TUREX   2,06    6,93 
05.03.2026  TURGG   -0,36   27,96
05.03.2026  TURSG   0,08    12,35
05.03.2026  UCAYM   0,00    nan  
05.03.2026  UFUK    1,07    1.602,00
05.03.2026  ULAS    3,34    34,00
05.03.2026  ULKER   0,93    119,90
05.03.2026  ULUFA   1,06    3,83 
05.03.2026  ULUSE   -1,06   178,10
05.03.2026  ULUUN   3,22    7,05 
05.03.2026  UNLU    4,17    15,00
05.03.2026  USAK    1,88    1,63 
05.03.2026  VAKBN   0,62    35,58
05.03.2026  VAKFA   3,32    12,46
05.03.2026  VAKFN   2,16    1,89 
05.03.2026  VAKKO   2,91    72,60
05.03.2026  VANGD   9,94    66,35
05.03.2026  VBTYZ   0,85    21,48
05.03.2026  VERTU   0,47    38,72
05.03.2026  VERUS   2,81    329,00
05.03.2026  VESBE   2,19    7,46 
05.03.2026  VESTL   3,03    28,60
05.03.2026  VKFYO   9,96    36,00
05.03.2026  VKGYO   8,30    2,74 
05.03.2026  VKING   5,96    29,52
05.03.2026  VRGYO   2,78    2,22 
05.03.2026  VSNMD   3,45    76,55
05.03.2026  XU100   1,05    13.078,93
05.03.2026  YAPRK   0,53    11,43
05.03.2026  YATAS   1,45    42,10
05.03.2026  YAYLA   3,45    25,22
05.03.2026  YBTAS   -0,45   17,89
05.03.2026  YEOTK   0,50    40,00
05.03.2026  YESIL   2,87    1,79 
05.03.2026  YGGYO   4,53    152,30
05.03.2026  YGYO    0,00    nan  
05.03.2026  YIGIT   1,17    22,52
05.03.2026  YKBNK   1,52    37,38
05.03.2026  YKSLN   0,96    3,16 
05.03.2026  YONGA   1,02    54,45
05.03.2026  YUNSA   5,39    8,80 
05.03.2026  YYAPI   1,84    1,66 
05.03.2026  YYLGD   1,28    11,11
05.03.2026  ZEDUR   2,41    8,09 
05.03.2026  ZERGY   9,99    18,49
05.03.2026  ZGYO    0,00    nan  
05.03.2026  ZOREN   1,68    3,02 
05.03.2026  ZRGYO   -0,09   22,02
